id,tamano_matriz,num_variables_qubo,optimo,penalizacion,metodo,coste_total,violacion,factible,ratio_optimo,tiempo_total,prob_optimo_starts,prob_optimo_muestras,tasa_factibilidad,ratio_medio_factibles,starts,total_muestras,t_cuantico,t_clasico,tiempo_por_eval,total_evals,warmstart,epsilon_warmstart,sqa_beta,sqa_gamma,sqa_trotter,sqa_num_sweeps
201,2x2,4,5,17.0,sa,5,0,True,1.0,0.0079676659952383,1.0,0.81,1.0,0.8830769230769231,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
202,2x2,4,5,15.0,sa,5,0,True,1.0,0.0055797499953769,1.0,0.83,1.0,0.8953846153846153,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
203,2x2,4,6,19.0,sa,6,0,True,1.0,0.0054419160005636,1.0,0.78,1.0,0.868,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
204,2x2,4,4,17.0,sa,4,0,True,1.0,0.0050988339935429,1.0,0.85,1.0,0.89,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
301,3x3,9,10,25.0,sa,10,0,True,1.0,0.0129420419980306,1.0,0.23,1.0,0.8298106060606061,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
302,3x3,9,11,28.0,sa,11,0,True,1.0,0.0127822500071488,0.9,0.21,1.0,0.8159284188034188,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
303,3x3,9,6,28.0,sa,6,0,True,1.0,0.0127559169777669,1.0,0.35,1.0,0.6105714285714285,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
304,3x3,9,7,28.0,sa,7,0,True,1.0,0.0126437500002793,1.0,0.34,1.0,0.6820849673202615,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201,2x2,4,5,17.0,sa,5,0,True,1.0,0.0078670840011909,1.0,0.89,1.0,0.9323076923076924,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
202,2x2,4,5,15.0,sa,5,0,True,1.0,0.0052501250174827,1.0,0.87,1.0,0.92,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
203,2x2,4,6,19.0,sa,6,0,True,1.0,0.0052614999876823,1.0,0.79,1.0,0.874,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
204,2x2,4,4,17.0,sa,4,0,True,1.0,0.0050683330046013,1.0,0.91,1.0,0.934,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
301,3x3,9,10,25.0,sa,10,0,True,1.0,0.012977292004507,0.8,0.26,1.0,0.8437878787878788,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
302,3x3,9,11,28.0,sa,11,0,True,1.0,0.0126942500064615,0.7,0.21,1.0,0.8178910256410257,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
303,3x3,9,6,28.0,sa,6,0,True,1.0,0.0127240419969894,1.0,0.43,1.0,0.6558214285714286,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
304,3x3,9,7,28.0,sa,7,0,True,1.0,0.0126192499883472,1.0,0.35,1.0,0.6786797385620915,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201,2x2,4,5,17.0,sa,5,0,True,1.0,0.0061337080260273,1.0,0.87,1.0,0.92,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
202,2x2,4,5,15.0,sa,5,0,True,1.0,0.0052069160155951,1.0,0.86,1.0,0.913846153846154,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
203,2x2,4,6,19.0,sa,6,0,True,1.0,0.0052801250130869,1.0,0.76,1.0,0.856,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
204,2x2,4,4,17.0,sa,4,0,True,1.0,0.0050600829999893,1.0,0.9,1.0,0.9266666666666666,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
301,3x3,9,10,25.0,sa,10,0,True,1.0,0.0130625409947242,0.9,0.22,1.0,0.8439772727272727,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
302,3x3,9,11,28.0,sa,11,0,True,1.0,0.0127799590118229,1.0,0.23,1.0,0.8306282051282051,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
303,3x3,9,6,28.0,sa,6,0,True,1.0,0.0127325420035049,1.0,0.39,1.0,0.6291428571428571,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
304,3x3,9,7,28.0,sa,7,0,True,1.0,0.0127047910063993,1.0,0.35,1.0,0.6988790849673202,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201,2x2,4,5,17.0,sa,5,0,True,1.0,0.0061561249895021,1.0,0.77,1.0,0.8584615384615385,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
202,2x2,4,5,15.0,sa,5,0,True,1.0,0.0051970830245409,1.0,0.85,1.0,0.9076923076923076,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
203,2x2,4,6,19.0,sa,6,0,True,1.0,0.0052542919875122,1.0,0.85,1.0,0.91,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
204,2x2,4,4,17.0,sa,4,0,True,1.0,0.0050715830002445,1.0,0.88,1.0,0.912,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
301,3x3,9,10,25.0,sa,10,0,True,1.0,0.0130094999913126,0.9,0.25,1.0,0.8503030303030303,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
302,3x3,9,11,28.0,sa,11,0,True,1.0,0.0127066659915726,0.9,0.24,1.0,0.821190170940171,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
303,3x3,9,6,28.0,sa,6,0,True,1.0,0.012781958997948,1.0,0.26,1.0,0.5458571428571428,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
304,3x3,9,7,28.0,sa,7,0,True,1.0,0.0126518330071121,1.0,0.42,1.0,0.6915359477124183,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201,2x2,4,5,17.0,sa,5,0,True,1.0,0.0066450000158511,1.0,0.8,1.0,0.8769230769230769,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
202,2x2,4,5,15.0,sa,5,0,True,1.0,0.0054548750049434,1.0,0.89,1.0,0.9323076923076924,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
203,2x2,4,6,19.0,sa,6,0,True,1.0,0.0054714999860152,1.0,0.8,1.0,0.88,10,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
