id,num_items,capacidad,num_variables_qubo,optimo,valor_total,peso,factible,coincide,ratio_optimo,brecha_optimo,exceso_peso,prob_optimo,ratio_optimo_medio,tiempo_total,t_solver,t_cuantico,t_clasico,pct_tiempo_solver_sobre_total,pct_tiempo_cuantico_sobre_solver,pct_tiempo_clasico_sobre_solver,tiempo_medio_iter,tiempo_por_eval,total_evals,num_factibles_qaoa,prob_optimo_muestras,prob_optimo_starts,tasa_factibilidad,ratio_medio_factibles,valor_medio_start,std_valor_start,tiempo_medio_start,total_muestras,starts,reads_por_start,muestras_esperadas,metodo,warmstart,epsilon_warmstart
201,2,5,5,9,9,5,True,True,1.0,0,0,0.8,0.9111111111111111,436.2138796999934,436.21171590016456,426.7257893991191,9.48592650104547,0.9999950395896839,0.9782538474890103,0.021746152510989655,0.13893241268000567,0.17378930613552535,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
202,2,6,5,11,11,6,True,True,1.0,0,0,1.0,1.0,386.31982959999004,386.3176477000234,377.0347394996206,9.282908200402744,0.9999943520891253,0.9759707891791396,0.024029210820860417,0.12342410895996728,0.15391115565738822,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
203,2,5,5,8,8,5,True,True,1.0,0,0,0.7,0.8125,413.0036687999964,413.00144770002225,403.6093222005875,9.39212549943477,0.9999946220817346,0.9772588557455697,0.02274114425443033,0.13192689036002847,0.16454212613546648,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
204,2,4,5,6,6,4,True,True,1.0,0,0,1.0,1.0,471.0047305999906,471.0022344000172,461.6840283985366,9.318206001480576,0.9999947002655999,0.9802162169923663,0.019783783007633723,0.1500431536800228,0.1876500527490166,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
301,3,5,6,9,9,5,True,True,1.0,0,0,0.8,0.9777777777777779,906.0691477000364,906.0668557001045,896.2668843986467,9.799971301457845,0.9999974703918153,0.9891840527662988,0.01081594723370115,0.2897105666799936,0.36098248685262097,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
302,3,5,6,9,9,5,True,True,1.0,0,0,0.7,0.9444444444444446,871.0455317999586,871.0431413999759,861.2563839997747,9.786757400201168,0.9999972557117907,0.9887643252841972,0.011235674715802819,0.2786608906400157,0.34702882784860767,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
303,3,5,6,11,11,5,True,True,1.0,0,0,1.0,1.0,954.4066226999857,954.4043041000841,944.7554320001509,9.648872099933214,0.9999975706372457,0.9898901628392893,0.010109837160710646,0.305736462279968,0.3802404395617921,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
304,3,4,6,7,7,4,True,True,1.0,0,0,0.8,0.9714285714285715,820.8595110999886,820.8571998999687,811.1593917004066,9.697808199562132,0.9999971844146427,0.9881857548417143,0.011814245158285663,0.26225644192001785,0.3270344199203196,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
401,4,9,8,21,21,9,True,True,1.0,0,0,0.9,0.9952380952380953,4548.952771899989,4548.950176600134,4535.437533999851,13.512642600282561,0.999999429473115,0.997029503055498,0.0029704969445020065,1.4542919114399935,1.8123304058167808,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
402,4,8,8,21,21,8,True,True,1.0,0,0,0.3,0.8904761904761903,4586.9031838999945,4586.900454399933,4573.454047699401,13.446406700531952,0.999999404936195,0.997068520053093,0.0029314799469069876,1.4658495024400064,1.8274499761354386,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
403,4,7,7,20,20,7,True,True,1.0,0,0,0.7,0.95,1970.64776610001,1970.6452207999537,1959.716516800283,10.928703999670688,0.9999987083942143,0.9944542508797021,0.005545749120297943,0.629694404559955,0.7851172349402269,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
404,4,8,8,21,21,8,True,True,1.0,0,0,0.8,0.9761904761904763,4428.323246499989,4428.32059580012,4414.549384499842,13.771211300278082,0.9999994014213233,0.9968901955036095,0.003109804496390548,1.4148759031199851,1.764270840398457,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
201,2,5,5,9,9,5,True,True,1.0,0,0,1.0,1.0,495.4777771999943,495.4755571002024,486.31022590072826,9.165331199474167,0.9999955192747404,0.9815019508669313,0.018498049133068774,0.15836546755998862,0.19740039529888778,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
202,2,6,5,11,11,6,True,True,1.0,0,0,1.0,1.0,442.4991238999646,442.49691039993195,433.5614371004631,8.935473299468867,0.9999949977301352,0.9798066990086034,0.020193300991396577,0.1412659973199945,0.17629336884460484,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
